regional_id,inter_100k_ha_q1,inter_10k_vei_q1,obitos_100k_ha_q1,obitos_10k_vei_q1,inter_100k_ha_q2,inter_10k_vei_q2,obitos_100k_ha_q2,obitos_10k_vei_q2,inter_100k_ha_q1_norm,inter_10k_vei_q1_norm,obitos_100k_ha_q1_norm,obitos_10k_vei_q1_norm,inter_100k_ha_q2_norm,inter_10k_vei_q2_norm,obitos_100k_ha_q2_norm,obitos_10k_vei_q2_norm,max_100k_ha_q1,max_10k_vei_q1,max_100k_ha_q2,max_10k_vei_q2,rank_100k_ha_q1,rank_10k_vei_q1,rank_100k_ha_q2,rank_10k_vei_q2
13001,31.521839121182506,12.120597472179568,13.641406367705926,5.280170139313757,35.19952030752278,12.237867836060202,12.042483629942321,4.202744695727567,0.05510911708141101,0.057662485601693264,0.22313385572694341,0.11275642358366736,0.05785125523904532,0.06515069742490619,0.2230522841058444,0.1148582743631484,0.22313385572694341,0.11275642358366736,0.2230522841058444,0.1148582743631484,36.0,134.0,38.0,145.0
13002,6.513210225760362,7.18275335906003,11.01127845304594,12.28271192928645,6.08068593446341,5.922767054870637,10.217145253168036,9.876667688679424,0.011386939179765921,0.0341712042742093,0.1660413545360322,0.32258395740906287,0.009993753066797752,0.031531015817401205,0.17553035607415896,0.3131595845972181,0.1660413545360322,0.32258395740906287,0.17553035607415896,0.3131595845972181,14.0,342.0,18.0,378.0
13003,36.807687655860235,58.48097471081134,13.027041114566835,21.31317620986284,68.70271129421073,87.5000992253462,12.285071483096283,15.689379464227148,0.06435027984010325,0.2782171728724816,0.20979775570268566,0.5931771371605911,0.11291455258401335,0.4658239952945146,0.2293679583093947,0.516311506563019,0.20979775570268566,0.5931771371605911,0.2293679583093947,0.516311506563019,28.0,440.0,47.0,438.0
13004,4.616049228870298,3.3547438043980944,15.366990518738119,11.141170763197024,4.153766305295023,2.6917264003174664,14.258972859796948,9.352894927867615,0.008070163559600937,0.01595984577183465,0.26059131726282425,0.2883782682714841,0.006826814474503279,0.014329935133060908,0.2807576624644031,0.29485393877458027,0.26059131726282425,0.2883782682714841,0.2807576624644031,0.29485393877458027,59.0,323.0,85.0,362.0
13005,93.9356702175282,102.29145016541418,10.594974751213407,11.762023957716401,9.3486840010324,9.260288401442073,9.427052484605465,9.291890497658802,0.16422619975431105,0.48664096682346564,0.15700460029294921,0.3069818123246111,0.015364786212081387,0.04929896741750961,0.1549606183401955,0.29272185865020817,0.16422619975431105,0.48664096682346564,0.1549606183401955,0.29272185865020817,13.0,422.0,16.0,358.0
13006,8.813253065155113,22.525628161424336,8.091384678354707,21.47592354326971,13.477573600558305,26.75680993416912,14.472397589831456,29.528981739667984,0.015408066552479676,0.10716334013307162,0.10265887116717888,0.5980537766194691,0.022150715224442494,0.14244514252230897,0.2863140868457308,1.0,0.10265887116717888,0.5980537766194691,0.2863140868457308,1.0,6.0,441.0,90.0,449.5
13007,4.717271649186257,14.241085036639532,4.15987679533671,12.558508596431835,12.705607542729428,30.465556006164654,8.627587992237459,20.93098988504474,0.008247129065674704,0.06775048530095683,0.01731715936594919,0.3308480615358311,0.020881970506981287,0.16218938199271812,0.1341468916615621,0.6995036675204106,0.01731715936594919,0.3308480615358311,0.1341468916615621,0.6995036675204106,1.0,347.0,10.0,447.0
13008,34.99373970551571,38.05708261711248,7.427327842731597,7.955286400797434,34.372645064360114,29.222341843969655,6.994613249912322,5.933977477183831,0.061178984231658046,0.18105262413743722,0.08824411001912792,0.1929148952756329,0.05649226595950029,0.1555708867776562,0.09163307111751991,0.17536415879432662,0.08824411001912792,0.1929148952756329,0.09163307111751991,0.17536415879432662,4.0,245.0,3.0,240.0
13009,12.40513190880926,22.511003090426097,4.977703799435664,9.408986369453276,29.991536032163744,44.4275368952294,5.0283922315369765,7.44361660045879,0.021687689736146057,0.10709376287437662,0.03506982795108721,0.23647426107361974,0.04929180826469723,0.23651873450259314,0.040443321907982124,0.22812543463432403,0.03506982795108721,0.23647426107361974,0.04929180826469723,0.23651873450259314,3.0,287.0,2.0,302.0
14001,469.24628273657504,115.58672888856756,27.42651586703956,6.84869818793203,345.6876598391545,88.62308419868423,19.484882299141702,5.005085027870064,0.8203756207222438,0.5498918766654927,0.5223688762446778,0.15975655325784038,0.5681459539114562,0.47180242676564704,0.4168120485643215,0.14289974396277744,0.8203756207222438,0.5498918766654927,0.5681459539114562,0.47180242676564704,440.0,434.0,346.0,430.0
14002,28.390820588991545,17.497462920933152,27.28643368321579,17.005254295951296,100.91344723099184,54.775422228926686,23.13635957440144,12.417769482898205,0.049635208461700164,0.0832423654081664,0.5193280955274335,0.46409249072509123,0.1658536690786766,0.29160773819135793,0.5118767458786243,0.4019700629660078,0.5193280955274335,0.46409249072509123,0.5118767458786243,0.4019700629660078,309.0,412.0,314.0,416.0
