"ano","nome_acao","cod_acao","unidade_orcamentaria","valor_pago"
"2010","Educação de Trânsito para Usuários das Rodovias Federais","8692","Departamento de Polícia Rodoviária Federal","513922.14"
"2010","Educação para a Cidadania no Trânsito","4414","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","138893.43"
"2010","Fomento a Pesquisa e Desenvolvimento na Área de Trânsito","4398","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","74930"
"2010","Fomento a Projetos Destinados à Redução de Acidentes no Trânsito","8487","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
"2010","Fortalecimento Institucional dos Órgãos e Entidades do Sistema Nacional de Trânsito - SNT","8028","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
"2010","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","100717.6"
"2010","Sistema de Informações do Sistema Nacional de Trânsito","4410","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","52800219.14"
"2010","Vigilância e Fiscalização do Trânsito Interestadual de Animais, seus Produtos e Insumos","2139","Ministério da Agricultura, Pecuária e Abastecimento","36230.38"
"2010","Vigilância e Fiscalização do Trânsito Interestadual de Vegetais, seus Produtos e Insumos","2134","Ministério da Agricultura, Pecuária e Abastecimento","1848207.70"
"2010","Vigilância e Fiscalização do Trânsito Internacional de Animais, seus Produtos e Insumos","2181","Ministério da Agricultura, Pecuária e Abastecimento","2281140.59"
"2010","Vigilância e Fiscalização do Trânsito Internacional de Vegetais, seus Produtos e Insumos","2180","Ministério da Agricultura, Pecuária e Abastecimento","2642271.77"
"2011","Capacitação de Profissionais do Sistema Nacional de Trânsito","6622","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
"2011","Educação de Trânsito para Usuários das Rodovias Federais","8692","Departamento de Polícia Rodoviária Federal","475586.00"
"2011","Educação para a Cidadania no Trânsito","4414","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","750335.27"
"2011","Fomento a Pesquisa e Desenvolvimento na Área de Trânsito","4398","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
"2011","Fomento a Projetos Destinados à Redução de Acidentes no Trânsito","8487","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
"2011","Fortalecimento Institucional dos Órgãos e Entidades do Sistema Nacional de Trânsito - SNT","8028","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
"2011","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","0"
"2011","Sistema de Informações do Sistema Nacional de Trânsito","4410","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","108301580.09"
"2011","Vigilância e Fiscalização do Trânsito Interestadual de Animais, seus Produtos e Insumos","2139","Ministério da Agricultura, Pecuária e Abastecimento","174880.64"
"2011","Vigilância e Fiscalização do Trânsito Interestadual de Vegetais, seus Produtos e Insumos","2134","Ministério da Agricultura, Pecuária e Abastecimento","11949624.96"
"2011","Vigilância e Fiscalização do Trânsito Internacional de Animais, seus Produtos e Insumos","2181","Ministério da Agricultura, Pecuária e Abastecimento","2649495.29"
"2011","Vigilância e Fiscalização do Trânsito Internacional de Vegetais, seus Produtos e Insumos","2180","Ministério da Agricultura, Pecuária e Abastecimento","3131793.67"
