_normalized_mun_slug,_normalized_mun_cod_ibge,vlr_investimento_sum,vlr_desembolsado_sum,vlr_investimento_por_populacao,vlr_desembolsado_por_populacao,populacao
santana-de-cataguases-mg,3158409,593572.8200000001,245850,Infinity,Infinity,
santana-do-mundau-al,2708105,1208732.38,460952.38,Infinity,Infinity,
sitio-d-abadia-go,5220702,1236242.63,222857.14,Infinity,Infinity,
aguas-vermelhas-mg,3101003,1390232.13,541432.94,Infinity,Infinity,
pocos-de-caldas-mg,3151800,44366760.2,1274642.08,Infinity,Infinity,
itapiranga-am,1302009,15230903.120000001,4955377.18,Infinity,Infinity,
primavera-de-rondonia-ro,1101476,1516470.6700000002,19711.66,Infinity,Infinity,
araguana-ma,2100873,6041515.53,3142577.39,Infinity,Infinity,
dores-do-turvo-mg,3123304,3680945.68,1513587.1400000001,Infinity,Infinity,
conceicao-dos-ouros-mg,3117801,3476386.69,1367710,Infinity,Infinity,
conceicao-do-tocantins-to,1705607,4637920.37,1652011.51,Infinity,Infinity,
gouveia-mg,3127602,1763819.13,1216397.1400000001,Infinity,Infinity,
anage-ba,2901205,1727795.73,987600,Infinity,Infinity,
cabo-frio-rj,3300704,6283604.5600000005,3264277.44,Infinity,Infinity,
ponto-novo-ba,2925253,2661331.65,2322107.19,Infinity,Infinity,
pedras-altas-rs,4314175,402068.32999999996,,Infinity,NaN,
teodoro-sampaio-ba,2931400,2128860.27,0,Infinity,NaN,
olho-d-agua-pb,2510402,1702295,1026728.57,Infinity,Infinity,
tunas-rs,4322152,886389.1,0,Infinity,NaN,
bernardo-sayao-to,1703206,1624198.74,910095.24,Infinity,Infinity,
cedral-ma,2103109,1348800,,Infinity,NaN,
cavalcante-go,5205307,1052000,795812.38,Infinity,Infinity,
palestina-al,2706208,851900,468707.14,Infinity,Infinity,
palestina-do-para-pa,1505494,98200,,Infinity,NaN,
joca-claudino-pb,2513653,3306327.63,654692.5,Infinity,Infinity,
barro-preto-ba,2903300,1727836.79,1297041.3699999999,Infinity,Infinity,
coivaras-pi,2202737,1798439.16,723350,Infinity,Infinity,
senhora-do-porto-mg,3166105,799383.13,0,Infinity,NaN,
planura-mg,3151602,1859442.98,1210457.13,Infinity,Infinity,
desterro-pb,2505402,9162657.66,6684265,Infinity,Infinity,
mariana-mg,3140001,665148.1799999999,0,Infinity,NaN,
guaratuba-pr,4109609,5403650,1553800,Infinity,Infinity,
jandaira-ba,2917904,4020996.9299999997,3097796,Infinity,Infinity,
ingai-mg,3130804,863043.5800000001,295020,Infinity,Infinity,
pedra-do-anta-mg,3148806,563915.04,0,Infinity,NaN,
pedra-branca-do-amapari-ap,1600154,9995889.15,0,Infinity,NaN,
pedra-azul-mg,3148707,2384653.06,0,Infinity,NaN,
pedra-dourada-mg,3149002,825637.65,0,Infinity,NaN,
caridade-ce,2303006,531975.99,0,Infinity,NaN,
gongogi-ba,2911501,1751902.49,501590,Infinity,Infinity,
malhada-de-pedras-ba,2920304,1898141.9300000002,779600,Infinity,Infinity,
teixeira-de-freitas-ba,2931350,4807937.16,2050617.41,Infinity,Infinity,
mucuri-ba,2922003,12536121.25,3171963.5100000002,Infinity,Infinity,
mortugaba-ba,2921807,2786745.2800000003,987600,Infinity,Infinity,
belagua-ma,2101731,1875276.04,0,Infinity,NaN,
trizidela-do-vale-ma,2112233,2986750.79,1201302.38,Infinity,Infinity,
maraja-do-sena-ma,2106359,692888.02,0,Infinity,NaN,
umburatiba-mg,3170305,1070611.6099999999,788400,Infinity,Infinity,
poxoreu-mt,5107008,2658827.35,196400,Infinity,Infinity,
sucupira-to,1720853,3205974.11,1187906.38,Infinity,Infinity,
montezuma-mg,3143450,1415309.02,222857.14,Infinity,Infinity,
silvanopolis-to,1720655,2887677.88,642664.29,Infinity,Infinity,
serranopolis-go,5220504,1614918.42,779047.62,Infinity,Infinity,
varjao-go,5221908,2488495.85,1645814.28,Infinity,Infinity,
cumari-go,5206602,88000,,Infinity,NaN,
matinhas-pb,2509339,2794920.2600000002,628060,Infinity,Infinity,
campestre-do-maranhao-ma,2102556,2269801.88,1750659.84,Infinity,Infinity,
campestre-da-serra-rs,4303673,558056.5,501590,Infinity,Infinity,
calcoene-ap,1600204,11642939,200000,Infinity,Infinity,
jenipapo-dos-vieiras-ma,2105476,781200,394200,Infinity,Infinity,
paraty-rj,3303807,2993337.94,0,Infinity,NaN,
dario-meira-ba,2910008,2770767.6,2218198.94,Infinity,Infinity,
ipixuna-do-para-pa,1503457,2026832,477796.32,Infinity,Infinity,
pradopolis-sp,3540903,2565289.35,2209113.14,Infinity,Infinity,
itapororoca-pb,2507101,5647972.53,2248755.0500000003,Infinity,Infinity,
almadina-ba,2900900,3062080.67,1821176.19,Infinity,Infinity,
placas-pa,1505650,1350565.3,234830.23,Infinity,Infinity,
piranhas-go,5217203,1990474.6099999999,952652.37,Infinity,Infinity,
melgaco-pa,1504505,1560342,0,Infinity,NaN,
queimadas-pb,2512507,7127913,2439170.74,Infinity,Infinity,
seabra-ba,2929909,4278084.34,2927013.7800000003,Infinity,Infinity,
aurora-do-para-pa,1500958,2687407.64,0,Infinity,NaN,
tacima-pb,2516409,3976993.16,1433159.52,Infinity,Infinity,
bias-fortes-mg,3106804,2357898.3,1219006,Infinity,Infinity,
tanhacu-ba,2931004,4109591.75,3418735,Infinity,Infinity,
apora-ba,2901908,4247856.03,2494860,Infinity,Infinity,
itauna-do-sul-pr,4111308,996662.02,769291.36,Infinity,Infinity,
itauba-mt,5104559,1798787.84,1199902.38,Infinity,Infinity,
timbiras-ma,2112100,2884967.2199999997,95713.6,Infinity,Infinity,
guarapari-es,3202405,4980047.07,0,Infinity,NaN,
aracas-ba,2902054,951953.6,0,Infinity,NaN,
jatoba-ma,2105450,1228205.4,355293.73,Infinity,Infinity,
ingazeira-pe,2607109,1285810.83,528007.77,Infinity,Infinity,
congonhas-mg,3118007,1881279.3599999999,491700,Infinity,Infinity,
aroeiras-do-itaim-pi,2200954,509907.14,509357.14,Infinity,Infinity,
atalaia-do-norte-am,1300201,2882375,0,Infinity,NaN,
isaias-coelho-pi,2204907,1411000,245850,Infinity,Infinity,
