_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum,_regional_saude_populacao_quadrienio,_regional_saude_frota_quadrienio,_regional_saude_vlr_investimento_por_hab,_regional_saude_vlr_repasse_financiamento_por_hab,_regional_saude_vlr_contrapartida_por_hab,_regional_saude_vlr_investimento_por_frota,_regional_saude_vlr_repasse_financiamento_por_frota,_regional_saude_vlr_contrapartida_por_frota
31055,Pirapora,,759651.51,600000,159651.51,,,,,,,,
31057,Patos de Minas,,4261046.9,4100000,161046.9,,,,,,,,
31072,Uberaba,,1130054.8900000001,984800,145254.89,,,,,,,,
31079,Conselheiro Lafaiete,,500000,493100,6900,,,,,,,,
31086,Divinópolis,,610114.33,493100,117014.33,,,,,,,,
32001,Central,,220000,214500,5500,,,,,,,,
32002,Metropolitana,,67487047.22999999,62576750,4910297.2299999995,,,,,,,,
32002,Metropolitana,2014-2017,885165.0700000001,738950,146215.07,2234460,942252,0.39614272352156676,0.33070630040367693,0.06543642311788979,0.9394143711024228,0.7842381868120205,0.15517618429040214
32004,Sul,2014-2017,298282.83,295300,2982.83,690210,329721,0.4321624288260095,0.42784080207473085,0.004321626751278596,0.9046522059559446,0.8956056787405109,0.009046527215433654
33002,Baixada Litorânea,,1616100,1482100,134000,,,,,,,,
33002,Baixada Litorânea,2018-2021,940000,911877.39,28122.61,870304,348975,1.0800823620252233,1.0477688141155275,0.03231354790969592,2.6936026936026938,2.61301637653127,0.08058631707142346
33002,Baixada Litorânea,2014-2017,3068944.2800000003,2904860,164084.28,799469,314003,3.83872830591305,3.6334867268149234,0.20524157909812638,9.773614519606502,9.251058110909769,0.5225564086967321
33003,Centro-Sul,,565867.35,538350,27517.35,,,,,,,,
33003,Centro-Sul,2014-2017,1465762.2,1450401.44,15360.76,330344,124509,4.437078318359044,4.390579032765844,0.04649928559319982,11.772339348962726,11.648968668931563,0.1233706800311624
33004,Médio Paraíba,,3728358.37,3037540.94,690817.4299999999,,,,,,,,
33005,Metropolitana I,2018-2021,1752478.33,1642211.27,110267.06,10585667,4027620,0.16555199875454235,0.15513536086105864,0.010416637893483708,0.4351151126471713,0.4077373908164127,0.027377721830758612
33004,Médio Paraíba,2014-2017,2262260,2174400,87860,886065,352510,2.5531535496831497,2.453996038665335,0.09915751101781473,6.417576806331735,6.168335650052481,0.2492411562792545
33005,Metropolitana I,,1222646295.6299999,610136953.6800001,612509341.9499999,,,,,,,,
33005,Metropolitana I,2014-2017,54174251.580000006,53061508.32,1112743.26,10186591,3639117,5.318192472830214,5.208956393753318,0.10923607907689628,14.88664738726455,14.580874514339605,0.30577287292494304
33006,Metropolitana II,,2168197331.55,1987592000,180605331.55,,,,,,,,
33006,Metropolitana II,2014-2017,9000000,9000000,0,2046751,727282,4.39721294871726,4.39721294871726,0,12.374842220761685,12.374842220761685,0
33007,Noroeste,,601500,595300,6200,,,,,,,,
33007,Noroeste,2014-2017,750350,740350,10000,338255,127581,2.2182968470532587,2.18873335205688,0.029563494996378472,5.881361644759016,5.80298006756492,0.0783815771940963
33008,Norte,,1309000,1300000,9000,,,,,,,,
