_normalized_mun_cod_ibge,_normalized_mun_slug,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum,_municipio_populacao_quadrienio,_municipio_frota_quadrienio,_vlr_investimento_por_hab,_vlr_repasse_financiamento_por_hab,_vlr_contrapartida_por_hab,_vlr_investimento_por_frota,_vlr_repasse_financiamento_por_frota,_vlr_contrapartida_por_frota
1100080,costa-marques-ro,2018-2021,241240,238856,2384,19255,4846,12.528693845754349,12.404881848870422,0.12381199688392626,49.78126289723483,49.28931077177053,0.49195212546430045
1100098,espigao-d-oeste-ro,,2850443.44,2641517.33,208926.11,,,,,,,,
1100098,espigao-d-oeste-ro,2018-2021,670658.56,644864,25794.56,33009,19476,20.317445545154353,19.536005331879185,0.7814402132751674,34.43512836311358,33.11070034914767,1.3244280139659068
1100106,guajara-mirim-ro,,1461559.77,1446683.99,14875.779999999999,,,,,,,,
1100114,jaru-ro,,3079420.17,2810700,268720.17000000004,,,,,,,,
1100122,ji-parana-ro,,40952508.56,37045199.67,3907308.8899999997,,,,,,,,
1100122,ji-parana-ro,2018-2021,28285142.590000004,27594151,690991.59,131026,93388,215.87427373193108,210.600575458306,5.273698273625082,302.87769938321844,295.4785518482032,7.399147535015205
1100130,machadinho-d-oeste-ro,2018-2021,961019,960019,1000,41724,16110,23.032762918224524,23.00879589684594,0.02396702137858307,59.65356921166977,59.591495965238984,0.06207324643078833
1100155,ouro-preto-do-oeste-ro,2018-2021,15778189.44,15144316.6,633872.84,35445,27593,445.1457029200169,427.2624234729863,17.88327944703061,571.8185568803682,548.8463233428768,22.97223353749139
1100205,porto-velho-ro,2018-2021,28969472.31,25927808.73,3041663.58,548952,281845,52.77232309928737,47.231467833253184,5.540855266034189,102.78512058046088,91.99314775851975,10.791972821941139
1100254,presidente-medici-ro,2018-2021,3129506.3699999996,2679960,449546.37,18165,10761,172.28221139554086,147.5342691990091,24.747942196531792,290.81928909952603,249.04376916643434,41.77551993309172
1100262,rio-crespo-ro,2018-2021,678060.22,674903,3157.22,3843,1163,176.44033827738744,175.61878740567266,0.8215508717148061,583.0268443680137,580.3121238177129,2.7147205503009455
1100122,ji-parana-ro,2014-2017,12006666.86,9887200,2119466.86,132667,81153,90.50228662742053,74.52644591345248,15.975840713968054,147.95099207669463,121.83406651633335,26.11692556036129
1100130,machadinho-d-oeste-ro,2014-2017,7718316.67,7285921.18,432395.49,38609,12741,199.90977932606387,188.71043487269807,11.199344453365795,605.7857836904482,571.8484561651361,33.937327525311986
1100130,machadinho-d-oeste-ro,,3294355.44,3201200,93155.44,,,,,,,,
1100148,nova-brasilandia-d-oeste-ro,,3184525.81,3077933.49,106592.32,,,,,,,,
1100155,ouro-preto-do-oeste-ro,,4273215.609999999,3816467,456748.61,,,,,,,,
1100189,pimenta-bueno-ro,,4905533.260000001,4556550,348983.25999999995,,,,,,,,
1100189,pimenta-bueno-ro,2018-2021,2925819.19,2875038,50781.19,37098,23632,78.86730255000269,77.49846352903121,1.368839020971481,123.80751481042654,121.65868314150305,2.148831668923494
1100205,porto-velho-ro,,65914639.78,62442620.970000006,3472018.81,,,,,,,,
1100288,rolim-de-moura-ro,2018-2021,5748093.77,5740421,7672.77,55748,46288,103.10851994690391,102.97088684795867,0.13763309894525366,124.18107868129968,124.01531714483235,0.16576153646733496
1100338,nova-mamore-ro,2018-2021,384605,384205,400,32184,NaN,11.950192642306737,11.937764106388267,0.012428535918468804,,,
1100346,alvorada-d-oeste-ro,2018-2021,387205,384205,3000,13807,8518,28.044108061128412,27.826826971825884,0.2172810893025277,45.45726696407608,45.105071613054704,0.3521953510213665
1100205,porto-velho-ro,2014-2017,1185120,987600,197520,519436,245491,2.281551528966032,1.901292940805027,0.3802585881610054,4.827549686139207,4.022958071782672,0.8045916143565345
1100254,presidente-medici-ro,,1395054.96,1328537.0699999998,66517.89,,,,,,,,
1100262,rio-crespo-ro,,854923.3899999999,795850,59073.39000000001,,,,,,,,
1100288,rolim-de-moura-ro,,41286097.41,40238250.4,1047847.01,,,,,,,,
