_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum
22005,Planície Litorânea,2018-2021,25399938.369999997,24543455.89,856482.48
22010,Vale do Sambito,2018-2021,10913423.849999998,10606481.559999999,306942.29000000004
21015,São João dos Patos,2014-2017,15124428.219999999,14951060.430000002,173367.79
21016,São Luís,2014-2017,259519157.67,234782395.67000002,24736762.000000004
21017,Timon,,11715959.67,11399034.370000001,316925.30000000005
21017,Timon,2014-2017,5166531.42,5119739.49,46791.93
21018,Viana,,20145524.75,19630966.410000004,514558.33999999997
21019,Zé Doca,2018-2021,34598762.93,34527456.78,71306.15
22008,Vale do Canindé,2018-2021,21691377.150000002,20921270.42,770106.7300000001
21018,Viana,2014-2017,4084174.2199999997,3951546.82,132627.4
21019,Zé Doca,,90209026.17,89010290.54,1198735.63
21019,Zé Doca,2014-2017,22477644.800000004,22313963.38,163681.41999999998
22001,Carnaubais,,34929017.03999999,33598949.32,1330067.7200000002
22001,Carnaubais,2014-2017,5906705.87,5828232.32,78473.54999999999
22002,Chapada das Mangabeiras,,56232638.67,53079348.53,3153290.1400000006
22002,Chapada das Mangabeiras,2014-2017,11268479.030000001,11079064.04,189414.99
22003,Cocais,,59487233.16,56576732.78,2910500.38
22004,Entre Rios,2018-2021,88712832.63999999,86871415.80000001,1841416.8399999999
22006,Serra da Capivara,2018-2021,2999930.18,2962544.47,37385.71
22009,Vale do Rio Guaribas,2018-2021,39049797.54000001,38164978.49000001,884819.05
23014,14ª Região Tauá,2018-2021,29098772.919999998,28810093.15,288679.77
22003,Cocais,2014-2017,12405903.559999999,12202681.7,203221.86
22004,Entre Rios,,340123113.0199999,298342371.17999995,41780741.84000001
22004,Entre Rios,2014-2017,732863685.1700002,712251245.9599999,20612439.209999997
22005,Planície Litorânea,,40914552.17,38668731.78,2245820.3900000006
22005,Planície Litorânea,2014-2017,14985929.100000001,14702860.58,283068.52
22006,Serra da Capivara,,27014344.860000003,26051948.17,962396.6899999998
22007,Tabuleiros do Alto Parnaíba,2018-2021,2839780.18,2735508.0700000003,104272.11
22006,Serra da Capivara,2014-2017,5447369.470000001,5356270,91099.47
22007,Tabuleiros do Alto Parnaíba,,8629041.280000001,8398490.719999999,230550.55999999997
22008,Vale do Canindé,,23236547.299999997,22623774.68,612772.6199999999
22011,Vale dos Rios Piauí e Itaueiras,2018-2021,25355417.6,24334784.02,1020633.5800000001
22008,Vale do Canindé,2014-2017,5262072.15,5192240,69832.15
22009,Vale do Rio Guaribas,,60681678.06999999,58948943.31000001,1732734.76
22009,Vale do Rio Guaribas,2014-2017,12895885.510000002,12706232.61,189652.90000000005
22010,Vale do Sambito,,30982208.299999997,29998288.09,983920.2099999998
22010,Vale do Sambito,2014-2017,6396373.8,6301510,94863.80000000002
22011,Vale dos Rios Piauí e Itaueiras,,43993391.08,42331755.879999995,1661635.1999999997
22011,Vale dos Rios Piauí e Itaueiras,2014-2017,15275963.43,15093186.08,182777.34999999998
23001,1ª Região Fortaleza,,4410901375.52,3677373768.56,733527606.9599999
23001,1ª Região Fortaleza,2018-2021,61112958.54,57932244.730000004,3180713.8099999996
23001,1ª Região Fortaleza,2014-2017,1234948606.3,1004867847.75,230080758.55
23002,2ª Região Caucaia,,124659986.39000003,110496847.4,14163138.989999998
23002,2ª Região Caucaia,2018-2021,20696719.29,19520388.12,1176331.1700000002
23010,10ª Região Limoeiro do Norte,2018-2021,14521024.51,14013710.620000001,507313.89
23002,2ª Região Caucaia,2014-2017,237647899.02,179386425.52000004,58261473.50000001
23003,3ª Região Maracanaú,,65203048.11000002,57151688.56,8051359.549999999
23003,3ª Região Maracanaú,2018-2021,18519085.34,16645642.74,1873442.6
23004,4ª Região Baturité,2018-2021,9574042.899999999,9404043.870000001,169999.03
23007,7ª Região Aracati,2018-2021,7213905.040000001,6682124.29,531780.75
23008,8ª Região Quixadá,2018-2021,16867923.08,16691589.86,176333.22000000003
23003,3ª Região Maracanaú,2014-2017,25418306.789999995,22868793.290000003,2549513.5
23004,4ª Região Baturité,,20469201.53,19951362.060000002,517839.47000000003
23004,4ª Região Baturité,2014-2017,4038667.1900000004,3627030.1599999997,411637.02999999997
23005,5ª Região Canindé,,15925725.440000001,15463500.55,462224.88999999996
23005,5ª Região Canindé,2018-2021,16252433.97,15587282.95,665151.0199999999
23009,9ª Região Russas,2018-2021,8539091.01,7026641.95,1512449.06
23005,5ª Região Canindé,2014-2017,2034485.63,1955001.94,79483.69
23006,6ª Região Itapipoca,,20542196.9,19564215.6,977981.2999999999
23006,6ª Região Itapipoca,2018-2021,11242821.37,10834982.26,407839.11
23006,6ª Região Itapipoca,2014-2017,7394214.180000001,7182237.34,211976.84
23007,7ª Região Aracati,,7424577.919999999,7084707.76,339870.16
23007,7ª Região Aracati,2014-2017,3650556.9000000004,3450300,200256.90000000002
23008,8ª Região Quixadá,,38412184.21,36896085.53,1516098.6799999997
23013,13ª Região Tianguá,2018-2021,17822852.209999997,15998239.45,1824612.76
23008,8ª Região Quixadá,2014-2017,12520446.49,12101047.63,419398.86000000004
23009,9ª Região Russas,,13856997.610000001,13448376.14,408621.47000000003
23009,9ª Região Russas,2014-2017,7344588.94,7223428.04,121160.9
23010,10ª Região Limoeiro do Norte,,35461462.25,33897828.77,1563633.48
23010,10ª Região Limoeiro do Norte,2014-2017,9871981.440000001,9662316.9,209664.54
23011,11ª Região Sobral,,101300764.41999999,96373658.53,4927105.89
23011,11ª Região Sobral,2018-2021,24733728.659999996,23088734.88,1644993.7800000003
23011,11ª Região Sobral,2014-2017,28504960.529999994,27461919.97,1043040.5600000003
23012,12ª Região Acaraú,,31819354.369999997,29830974.47,1988379.9
23012,12ª Região Acaraú,2018-2021,15337068.8,14859387.41,477681.38999999996
23012,12ª Região Acaraú,2014-2017,7371971.15,7134985.9,236985.24999999997
23013,13ª Região Tianguá,,38665133.68,36271238.989999995,2393894.6900000004
23013,13ª Região Tianguá,2014-2017,7100737.73,6896482.899999999,204254.83
23014,14ª Região Tauá,,33679074.76,31525491.82,2153582.94
23015,15ª Região Crateús,,56351720.6,54954923.510000005,1396797.0900000003
23015,15ª Região Crateús,2018-2021,46682599.279999994,45376716.76,1305882.52
23016,16ª Região Camocim,2018-2021,21813777.94,20662789.45,1150988.4899999998
23017,17ª Região Icó,2018-2021,6052717.45,6014139.88,38577.57
23019,19ª Região Brejo Santo,2018-2021,7300152.11,7221989.600000001,78162.51000000001
24003,3ª Região de Saúde - João Câmara,2018-2021,28128004.369999997,27377780.35,750224.02
24004,4ª Região de Saúde - Caicó,2018-2021,34603249.67,33745631.16,857618.5099999999
23014,14ª Região Tauá,2014-2017,20928557.79,19385426.21,1543131.58
23015,15ª Região Crateús,2014-2017,10730405.27,10311013.610000001,419391.66
23016,16ª Região Camocim,,18934262.06,17829475.58,1104786.48
23016,16ª Região Camocim,2014-2017,11570882.799999999,11137743.58,433139.2199999999
23017,17ª Região Icó,,17259323.96,16594737.580000002,664586.38
23018,18ª Região Iguatú,2018-2021,17655887.08,17565147.72,90739.36
24002,2ª Região de Saúde - Mossoró,2018-2021,59316073.379999995,57837319.07,1478754.3099999998
24005,5ª Região de Saúde - Santa Cruz,2018-2021,33951838.28,33213886.94,737951.34
23017,17ª Região Icó,2014-2017,11062241.270000001,10828185.5,234055.77
23018,18ª Região Iguatú,,49606402.96,46590988.83,3015414.1299999994
